Q2	2	44	3153
Q2	3	114	4627
Q2	4	208	6109
Q2	5	373	7685
Q2	6	534	9323
Q2	7	713	10874
Q2	8	974	12226
Q2	9	1281	14020
Q2	10	1551	15315
Q2	11	1864	16772
Q2	12	2186	18448
Q2	13	2520	20070
Q2	14	2953	21527
Q2	15	3340	22994
Q2	16	3769	24783
Q2	17	4167	26543
Q2	18	4682	27916
Q2	19	5178	29492
Q2	20	5534	31043
Q2	21	6141	32872
Q2	22	6713	34249
Q2	23	7383	35882
Q2	24	7897	37238
Q2	25	8468	39493
Q2	26	9103	40496
Q2	27	9588	42395
Q2	28	10272	43708
Q2	29	10822	45233
Q2	30	11902	46985
Q2	31	12511	48293
Q2	32	13246	50233
Q2	33	13757	51858
Q2	34	14571	53126
Q2	35	15384	54946
Q2	36	16037	56435
Q2	37	16720	58061
Q2	38	17951	59603
Q2	39	18322	61281
Q2	40	19353	63068
Q2	41	19742	64552
Q2	42	20787	66011
Q2	43	21342	67597
Q2	44	22348	69116
Q2	45	23389	70825
Q2	46	23955	72438
Q2	47	25167	73883
Q2	48	25846	75500
Q2	49	27511	77484
Q2	50	28080	79128
Q2	51	28535	80104
Q2	52	29711	82147
Q2	53	30494	83440
Q2	54	31720	85092
Q2	55	32919	86624
Q2	56	33491	88708
Q2	57	34756	90287
Q2	58	35457	91614
Q2	59	36821	92870
Q2	60	37322	95198
Q2	61	39048	96612
Q2	62	40114	97768
Q2	63	40998	99978
Q2	64	41913	100989
Q2	65	43186	103034
Q2	66	44207	104836
Q2	67	45191	105590
Q2	68	46257	107609
Q2	69	47021	109039
Q2	70	48104	111013
Q2	71	49888	113132
Q2	72	50713	114070
Q2	73	51765	115393
Q2	74	52999	117034
Q2	75	54257	118747
Q2	76	55266	120183
Q2	77	56513	121658
Q2	78	57763	123309
Q2	79	58533	125124
Q3(a)	2	45	3147
Q3(a)	3	122	4607
Q3(a)	4	211	6101
Q3(a)	5	354	7571
Q3(a)	6	535	9280
Q3(a)	7	813	11089
Q3(a)	8	974	12468
Q3(a)	9	1208	13698
Q3(a)	10	1542	15159
Q3(a)	11	1781	16765
Q3(a)	12	2203	18730
Q3(a)	13	2619	19878
Q3(a)	14	2917	21465
Q3(a)	15	3327	23320
Q3(a)	16	3678	25130
Q3(a)	17	3841	26614
Q3(a)	18	4464	27898
Q3(a)	19	4861	29608
Q3(a)	20	5694	31545
Q3(a)	21	6173	32641
Q3(a)	22	6537	34519
Q3(a)	23	6914	35807
Q3(a)	24	7555	37790
Q3(a)	25	8117	38880
Q3(a)	26	8339	40519
Q3(a)	27	9268	41987
Q3(a)	28	9500	43797
Q3(a)	29	10167	45139
Q3(a)	30	11375	46853
Q3(a)	31	11842	48327
Q3(a)	32	12486	49977
Q3(a)	33	13188	51442
Q3(a)	34	14005	53110
Q3(a)	35	14349	54771
Q3(a)	36	15181	56400
Q3(a)	37	16173	57983
Q3(a)	38	16863	59584
Q3(a)	39	17543	61197
Q3(a)	40	18318	63289
Q3(a)	41	19175	64317
Q3(a)	42	20025	66117
Q3(a)	43	20808	67608
Q3(a)	44	21425	69605
Q3(a)	45	22636	70767
Q3(a)	46	23777	72187
Q3(a)	47	24495	73922
Q3(a)	48	25156	75541
Q3(a)	49	26188	77274
Q3(a)	50	26963	78659
Q3(a)	51	27934	80294
